domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_num CRR125950_0.90.bracken_num CRR125950_0.95.bracken_num CRR125950_0.99.bracken_num CRR125950_0.bracken_num CRR125950_1.bracken_num 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter baumannii 470 	S 0.05931 0.20250 0.20539 0.21518 0.00068 0.22009 
Bacteria Proteobacteria Alphaproteobacteria Pelagibacterales Pelagibacteraceae Candidatus Pelagibacter Candidatus Pelagibacter 	sp. 1977865 1 1 1 1 1 1 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces venezuelae 54571 	S 0.00030 0.00027 0.00025 0.00029 0.00012 0.00038 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Arcobacter Arcobacter skirrowii 28200 	S 0.00011 0.00020 0.00010 0.00007 0.00012 0.00008 
Bacteria Proteobacteria Gammaproteobacteria Vibrionales Vibrionaceae Vibrio Vibrio sp. THAF191d 	2661922 0 0 0 0 3 0 
Bacteria Cyanobacteria NA Chroococcales Aphanothecaceae Halothece Halothece sp. PCC 	7418 S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Proteus Proteus sp. ZN5 	2697019 0 0 0 0 1 0 
Bacteria Deferribacteres Deferribacteres Deferribacterales Deferribacteraceae Calditerrivibrio Calditerrivibrio nitroreducens 477976 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Photorhabdus Photorhabdus asymbiotica 291112 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter sp. WCHA45 	2004644 0 0 0 0 1 0 
