feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X2496265	case	Uninfected	-1.49295466598884	0.991982235233102	86	31	0.146879963473818	0.624227317996673
X2049	case	CAP	-0.652843373578047	0.443989930051597	86	62	0.147691995251081	0.625627564367333
X28209	case	CAP	1.37373001984753	0.645914917902071	86	33	0.147426500201896	0.625627564367333
X1986204	case	CAP	1.29618804547092	0.863885646293769	86	31	0.147650090825452	0.625627564367333
X2033435	case	CAP	0.945693458937679	0.616431362943853	86	25	0.147504634681211	0.625627564367333
X547	case	Uninfected	-0.690154490531656	0.46829175210125	86	50	0.1480637976373	0.625956166550148
X349746	case	Uninfected	-1.17734644654362	0.785317001377935	86	29	0.148546791658416	0.625956166550148
X633697	case	Uninfected	-0.978423421980765	0.654253403391607	86	28	0.14807003354374	0.625956166550148
X1146883	case	Uninfected	0.785325362513102	0.531914996647343	86	40	0.148529181333849	0.625956166550148
X1178515	case	Uninfected	-1.26756111685611	0.841931677692783	86	24	0.148507238898292	0.625956166550148
X1706369	case	Uninfected	1.19351741182914	0.782212052960019	86	20	0.148025475609725	0.625956166550148
X1737425	case	CAP	-1.32427347033983	0.776757287855228	86	10	0.148308606610327	0.625956166550148
X2479547	case	CAP	-1.0558426468482	0.696979237252488	86	23	0.148469724144051	0.625956166550148
X555	case	Uninfected	1.46708494873763	0.978890154258994	86	26	0.148742722532903	0.626026662848992
X168807	case	Uninfected	-2.11102960124517	1.3920526508397	86	21	0.148826182547855	0.626026662848992
X1379910	case	CAP	-1.02887230973748	0.685127019744232	86	31	0.148855012802213	0.626026662848992
X1863	case	CAP	-0.826006191824341	0.5545323496574	86	30	0.149375303231596	0.6271132775705
X269800	case	Uninfected	-1.4826322461039	0.996468476328229	86	32	0.149537003072322	0.6271132775705
X1972134	case	Uninfected	-0.616972182657878	0.414978217568836	86	34	0.149433904977157	0.6271132775705
X2681984	case	CAP	0.830010842806764	0.557263633474222	86	30	0.149454627765274	0.6271132775705
X2697562	case	Uninfected	2.79077075761898	1.74042694567377	86	14	0.149600047745749	0.6271132775705
X115545	case	Uninfected	1.43454254225816	0.95094361895227	86	23	0.150090584191195	0.628470738541009
X1883416	case	CAP	-1.89078946748036	1.2324690604289	86	20	0.150118961138385	0.628470738541009
X561229	case	Uninfected	-1.79339683264238	1.16827920583027	86	23	0.150446819752497	0.628760965716553
X931089	case	Uninfected	-0.894844339120532	0.590393356221347	86	19	0.150400716157785	0.628760965716553
X1306420	case	CAP	0.723471613403123	0.480466440332122	86	20	0.150481050618489	0.628760965716553
X204441	case	CAP	0.649170300864384	0.434358297689204	86	43	0.15066631300874	0.629127060735781
X270	case	Uninfected	0.838274014757594	0.550018849584291	86	31	0.151230248299038	0.631072856082059
