domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_frac CRR125950_0.90.bracken_frac CRR125950_0.95.bracken_frac CRR125950_0.99.bracken_frac CRR125950_0.bracken_frac CRR125950_1.bracken_frac 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Blattabacteriaceae Blattabacterium Blattabacterium clevelandi 164516 	0 0 0 0 1 0 
Bacteria Bacteroidetes Sphingobacteriia Sphingobacteriales Sphingobacteriaceae Sphingobacterium Sphingobacterium sp. CZ-2 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Saccharomycetaceae Kazachstania Kazachstania africana 432096 	0 0 0 0 1 0 
Bacteria Firmicutes Negativicutes Veillonellales Veillonellaceae Veillonella Veillonella rodentium 248315 	0 0 0 0 8 0 
Bacteria Acidobacteria Acidobacteriia Bryobacterales Solibacteraceae Candidatus Solibacter Candidatus Solibacter 	332163 0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae Lysobacter Lysobacter alkalisoli 2591633 	0 0 0 0 1 0 
Bacteria Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae Pseudodesulfovibrio Pseudodesulfovibrio indicus 1716143 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae Xanthomonas Xanthomonas oryzae 347 	0 0 0 0 1 0 
Bacteria Proteobacteria Deltaproteobacteria Desulfobacterales Desulfobacteraceae Desulfobacterium Desulfobacterium autotrophicum 2296 	0 0 0 0 2 0 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingomonas Sphingomonas sp. MK52 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Blautia Blautia producta 33035 	0 0 0 0 1 0 
Bacteria Proteobacteria Betaproteobacteria Rhodocyclales Zoogloeaceae Azoarcus Azoarcus sp. SY39 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Alteromonadaceae Alteromonas Alteromonas macleodii 28108 	0 0 0 0 3 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Mesobacillus Mesobacillus foraminis 279826 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingomonas Sphingomonas sp. Cra20 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas Porphyromonas crevioricanis 393921 	0 0 0 0 1 0 
Eukaryota Bacillariophyta Bacillariophyceae Naviculales Phaeodactylaceae Phaeodactylum Phaeodactylum tricornutum 2850 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas asturiensis 1190415 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Eubacteriaceae Acetobacterium Acetobacterium sp. KB-1 	S 0.00000 0.00000 0.00000 0.00000 0.00016 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter oleivorans 1148157 	0 0 0 0 1 0 
Bacteria Bacteroidetes Chitinophagia Chitinophagales Chitinophagaceae Arachidicoccus Arachidicoccus sp. B3-10 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Paraclostridium Paraclostridium bifermentans 1490 	0 0 0 0 3 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus circulans 1397 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium butyricum 1492 	0 0 0 0 4 0 
