taxid	CRR119890	CRR119891	CRR119892	CRR119893	CRR125445	CRR125446
32033	5	3	6	8	5	1
32049	0	0	1	0	0	0
32052	1	0	0	1	0	1
32067	11	6	7	5	25	23
32207	0	0	0	0	8	0
33010	1	0	0	0	0	0
33011	0	2	0	0	3	4
33013	0	0	0	0	4	14
33014	0	0	0	0	2	4
33024	0	2	0	4	0	1
33033	1	2	3	3	1	1
33035	1	5	1	0	5	2
33040	0	0	0	1	0	0
33047	5	9	11	6	3	7
33050	0	1	4	0	4	6
33056	0	1	1	0	0	1
33059	0	1	0	0	1	0
33074	2	0	0	0	0	0
33706	4	17	7	10	10	10
33877	0	1	0	0	0	0
33882	1	1	1	2	15	6
33886	6	8	10	12	1	0
33887	94	43	92	83	34	84
33888	0	0	0	1	0	0
33899	6	1	1	3	1	2
33905	0	0	0	0	6	3
33910	5	6	6	8	14	16
33923	5	5	2	1	18	9
33925	0	0	0	0	1	0
33932	3	2	0	3	5	11
33934	2	0	2	4	0	2
33936	2	2	1	1	1	3
33938	1	0	0	0	0	0
33940	4	2	3	5	11	8
33941	4	8	8	7	4	3
33945	2	1	1	1	2	2
33958	1	0	0	0	0	0
33959	3	0	0	1	2	1
33964	2	1	3	0	0	0
33966	0	0	0	0	1	0
33968	3	0	0	0	0	0
33970	3	1	3	4	0	2
33986	0	0	0	0	2	0
33989	0	0	0	0	1	1
33990	0	0	0	0	0	1
33995	2	2	1	3	0	2
34004	2	0	0	0	0	1
34021	1	1	3	3	1	2
34038	0	0	1	0	1	2
34061	0	1	0	0	1	0
34062	2	12	1	9	39	73
34072	0	0	0	0	1	1
34073	9	10	12	7	16	22
34085	112	90	104	99	54	79
34098	2	4	1	2	5	2
34105	3	2	3	4	1	2
35243	0	0	0	0	0	3
35554	0	1	0	1	0	0
35623	0	1	0	0	0	0
35703	0	0	0	0	0	2
35746	0	0	0	0	0	1
35755	1	0	1	0	3	1
35757	0	0	0	0	1	2
35760	0	1	0	0	0	0
35806	0	1	1	0	0	1
